NAME,variable,pct_tot
"Gloucester County, Virginia",S1501_C01_015,NA
"Isle of Wight County, Virginia",S1501_C01_015,NA
"James City County, Virginia",S1501_C01_015,NA
"Mathews County, Virginia",S1501_C01_015,NA
"Southampton County, Virginia",S1501_C01_015,NA
"York County, Virginia",S1501_C01_015,NA
"Chesapeake city, Virginia",S1501_C01_015,NA
"Franklin city, Virginia",S1501_C01_015,NA
"Hampton city, Virginia",S1501_C01_015,NA
"Newport News city, Virginia",S1501_C01_015,NA
"Norfolk city, Virginia",S1501_C01_015,NA
"Poquoson city, Virginia",S1501_C01_015,NA
"Portsmouth city, Virginia",S1501_C01_015,NA
"Suffolk city, Virginia",S1501_C01_015,NA
"Virginia Beach city, Virginia",S1501_C01_015,NA
"Williamsburg city, Virginia",S1501_C01_015,NA
